site_id,sitename,location,lon,lat,met_filename,met_start_date,met_end_date,cohort_filename,start_date,end_date
1000003424,MANDIFORE-SEUS-6383,SEUS,-93.639279,33.8216176,NARR_ED2_site_1-3424,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3424,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003426,MANDIFORE-SEUS-6385,SEUS,-93.4217395,33.8169667,NARR_ED2_site_1-3426,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3426,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003432,MANDIFORE-SEUS-6399,SEUS,-91.8998471,33.772946,NARR_ED2_site_1-3432,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3432,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003435,MANDIFORE-SEUS-6402,SEUS,-91.5739743,33.7609046,NARR_ED2_site_1-3435,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3435,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003468,MANDIFORE-SEUS-6455,SEUS,-84.4444067,33.2642469,NARR_ED2_site_1-3468,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3468,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003537,MANDIFORE-SEUS-6599,SEUS,-83.7876633,33.2860873,NARR_ED2_site_1-3537,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3537,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003589,MANDIFORE-SEUS-6738,SEUS,-83.8811114,33.3863475,NARR_ED2_site_1-3589,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3589,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003596,MANDIFORE-SEUS-6777,SEUS,-79.7214584,32.8661457,NARR_ED2_site_1-3596,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3596,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003646,MANDIFORE-SEUS-6914,SEUS,-79.7031145,32.9544492,NARR_ED2_site_1-3646,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3646,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003712,MANDIFORE-SEUS-7069,SEUS,-91.2208833,34.1947928,NARR_ED2_site_1-3712,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3712,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
