ensemble,AGB_PFT,BSEEDS,DBH,DDBH,NPP_PFT,TRANSP_PFT,DENS,lon,lat,dtime,pft,date
2,9.53014755249023,0,213.9949951171875,0,-3.30223777211813e-08,0,0.06259322166442871,-120.9940402,44.109846,59,Temperate Early Hardwood,2002-03-01
2,9.52511787414551,0,213.9949951171875,0,-2.59986521200517e-08,0,0.06254173070192337,-120.9940402,44.109846,90,Temperate Early Hardwood,2002-04-01
2,9.52025318145752,0,213.9949951171875,0,-2.29362431269919e-08,0,0.06249196082353592,-120.9940402,44.109846,120,Temperate Early Hardwood,2002-05-01
2,9.70746517181396,0.09827721118927002,216.96951293945312,32.44065856933594,2.29430934268748e-05,1.4728610040037893e-5,3.133232355117798,-120.9940402,44.109846,151,Temperate Early Hardwood,2002-06-01
2,9.70452976226807,0,217.24063110351562,0,4.14484020438977e-05,3.502078470773995e-5,3.281806468963623,-120.9940402,44.109846,181,Temperate Early Hardwood,2002-07-01
2,9.69946956634521,0,217.24063110351562,0,3.82032667403109e-05,4.040673957206309e-5,3.2768452167510986,-120.9940402,44.109846,212,Temperate Early Hardwood,2002-08-01
2,9.69440937042236,0,217.24063110351562,0,3.49210640706588e-05,3.0267774491221644e-5,3.2717247009277344,-120.9940402,44.109846,243,Temperate Early Hardwood,2002-09-01
2,9.6895112991333,0,217.24063110351562,0,2.41944962908747e-05,1.4546832971973345e-5,3.2667696475982666,-120.9940402,44.109846,273,Temperate Early Hardwood,2002-10-01
2,9.62460136413574,0,217.24063110351562,0,5.15970305059454e-06,1.419834347871074e-6,3.2616541385650635,-120.9940402,44.109846,304,Temperate Early Hardwood,2002-11-01
2,0.0106970118358731,2.785080922395461e-13,11.021077156066895,2.86102294921875e-6,6.59720633677807e-09,9.957123126014267e-8,1.1144708395004272,-120.9940402,44.109846,0,Setaria WT,2003-01-01
2,0.00587890530005097,0,9.720048904418945,7.152557373046875e-7,2.17392082113577e-09,8.603646506344376e-8,0.7603598833084106,-120.9940402,44.109846,31,Setaria WT,2003-02-01
2,0.00675477460026741,7.337778242799686e-6,13.207832336425781,-3.5762786865234375e-6,4.87864717513276e-08,3.4115225844288943e-7,0.5241734385490417,-120.9940402,44.109846,59,Setaria WT,2003-03-01
2,0.00804058089852333,0.006502499803900719,15.749323844909668,0,1.59892479700829e-07,6.506527938654472e-7,0.43874868750572205,-120.9940402,44.109846,90,Setaria WT,2003-04-01
2,0.010667672380805,0.03462374210357666,18.602951049804688,-1.430511474609375e-6,4.94537630402192e-07,2.389690735071781e-6,0.40586966276168823,-120.9940402,44.109846,120,Setaria WT,2003-05-01
2,0.0143995825201273,0.05579560995101929,32.439292907714844,0,9.24335097352014e-07,4.1294974835182074e-6,1.9306411743164062,-120.9940402,44.109846,151,Setaria WT,2003-06-01
2,0.0310215353965759,0.04910250008106232,37.53208541870117,2.1457672119140625e-6,1.055093434843e-06,8.763577170611825e-6,3.2565317153930664,-120.9940402,44.109846,181,Setaria WT,2003-07-01
2,0.0597731061279774,0.13486835360527039,43.24905014038086,7.152557373046875e-7,1.31887361476402e-06,1.4361039575305767e-5,6.177540302276611,-120.9940402,44.109846,212,Setaria WT,2003-08-01
2,0.0823823735117912,0.12579098343849182,47.66460418701172,0,9.81990183390735e-07,1.0703566658776253e-5,5.817020416259766,-120.9940402,44.109846,243,Setaria WT,2003-09-01
2,0.0763284042477608,0.04173433408141136,48.11187744140625,7.152557373046875e-7,3.72204368659368e-07,3.50448181052343e-6,4.961419582366943,-120.9940402,44.109846,273,Setaria WT,2003-10-01
2,0.0490550398826599,2.6169751045010403e-13,43.09464645385742,2.1457672119140625e-6,2.3066316856557e-08,5.581138680099684e-7,3.886012554168701,-120.9940402,44.109846,304,Setaria WT,2003-11-01
2,9.60970783233643,0,217.24063110351562,0,-3.58472895811701e-08,0,3.246544599533081,-120.9940402,44.109846,0,Temperate Early Hardwood,2003-01-01
2,9.60518169403076,0,217.24063110351562,0,-2.70194107088173e-08,0,3.241964101791382,-120.9940402,44.109846,31,Temperate Early Hardwood,2003-02-01
2,9.60024070739746,0,217.64730834960938,0,-2.20576339415857e-08,0,3.5369014739990234,-120.9940402,44.109846,59,Temperate Early Hardwood,2003-03-01
2,9.59533786773682,0,217.64730834960938,0,-2.07707238075727e-08,7.85428722060999e-10,3.5315511226654053,-120.9940402,44.109846,90,Temperate Early Hardwood,2003-04-01
2,10.3286848068237,0.4126184582710266,231.49171447753906,161.2527618408203,1.13398591565783e-05,7.862163329264149e-6,21.17775535583496,-120.9940402,44.109846,120,Temperate Early Hardwood,2003-05-01
2,10.3357648849487,0,232.87803649902344,0,4.45830482931342e-05,4.2300584027543664e-5,21.923931121826172,-120.9940402,44.109846,151,Temperate Early Hardwood,2003-06-01
2,10.3303670883179,0,232.87803649902344,0,3.91378307540435e-05,4.976270065526478e-5,21.890148162841797,-120.9940402,44.109846,181,Temperate Early Hardwood,2003-07-01
2,10.3249702453613,0,232.87803649902344,0,3.37537603627425e-05,3.656766421045177e-5,21.85556983947754,-120.9940402,44.109846,212,Temperate Early Hardwood,2003-08-01
2,10.3197507858276,0,232.87803649902344,0,2.44165948970476e-05,1.7364451196044683e-5,21.822120666503906,-120.9940402,44.109846,243,Temperate Early Hardwood,2003-09-01
2,10.2400560379028,0,232.87803649902344,0,1.27204202726716e-05,5.4443548833660316e-6,21.7875919342041,-120.9940402,44.109846,273,Temperate Early Hardwood,2003-10-01
2,10.2348871231079,0,232.87803649902344,0,-1.39055714498681e-07,0,21.754234313964844,-120.9940402,44.109846,304,Temperate Early Hardwood,2003-11-01
3,0.00615402869880199,0,1.2814304828643799,0,1.11889282561339e-10,1.6252062096100417e-7,1.2511827945709229,-120.9940402,44.109846,31,Setaria WT,2002-02-01
3,0.00333771924488246,5.984560069727252e-12,1.1453845500946045,-7.152557373046875e-7,4.44063119608984e-10,2.5538403747304983e-7,0.8225116729736328,-120.9940402,44.109846,59,Setaria WT,2002-03-01
3,0.00464159110561013,1.0488107778094946e-11,1.6935362815856934,7.152557373046875e-7,4.7503538880278e-09,5.182231461731135e-7,0.5845104455947876,-120.9940402,44.109846,90,Setaria WT,2002-04-01
3,0.0134342974051833,4.414830445664819e-10,3.2893800735473633,1.430511474609375e-6,3.92885688427214e-08,2.2904139314050553e-6,0.5369856357574463,-120.9940402,44.109846,120,Setaria WT,2002-05-01
3,0.0159399528056383,0.09614405035972595,6.819714069366455,0,2.70393769596922e-07,9.43975192058133e-6,0.5983843207359314,-120.9940402,44.109846,151,Setaria WT,2002-06-01
3,0.0159249287098646,0.11799526959657669,6.819714069366455,0,3.19773505452758e-07,1.2810817679564934e-5,0.5978203415870667,-120.9940402,44.109846,181,Setaria WT,2002-07-01
3,0.0158795323222876,0.0916515365242958,6.819714069366455,0,2.74006112022107e-07,9.185782801068854e-6,0.5961161255836487,-120.9940402,44.109846,212,Setaria WT,2002-08-01
3,0.0149959437549114,0.044255517423152924,6.819714069366455,0,1.59328152449234e-07,4.4217931645107456e-6,0.5629463195800781,-120.9940402,44.109846,243,Setaria WT,2002-09-01
3,0.0110008809715509,0,6.508546829223633,0,1.10952278475906e-08,5.753427103627473e-7,0.44606634974479675,-120.9940402,44.109846,273,Setaria WT,2002-10-01
3,0.00567323993891478,0,5.523350715637207,0,9.75698188909746e-10,3.087952791247517e-7,0.3020933270454407,-120.9940402,44.109846,304,Setaria WT,2002-11-01
3,9.53469371795654,0,213.9949951171875,-3.4332275390625e-5,-2.2359699869412e-08,3.176403584603804e-10,0.06263977289199829,-120.9940402,44.109846,31,Temperate Early Hardwood,2002-02-01
