site,ensemble,AGB_PFT,BSEEDS,DBH,DDBH,NPP_PFT,TRANSP_PFT,DENS,lon,lat,dtime,pft,date
MANDIFORE-SEUS-5605,13,0.0274746585637331,0.1738947480916977,22.16407012939453,0,1.0404154409116018e-6,4.942397481499938e-6,1.0313962697982788,-91.2805832,33.2113616,91,1,2004-04-01
MANDIFORE-SEUS-5605,13,0.027904439717531204,0.24864882230758667,22.514184951782227,0,1.3371997056310647e-6,7.251569968502736e-6,1.2965482473373413,-91.2805832,33.2113616,121,1,2004-05-01
MANDIFORE-SEUS-5605,13,0.031014762818813324,0.21203061938285828,25.365215301513672,0,1.231469241247396e-6,7.22583536116872e-6,1.6959307193756104,-91.2805832,33.2113616,152,1,2004-06-01
MANDIFORE-SEUS-5605,13,0.03808613494038582,0.2206295132637024,27.897607803344727,0,1.3211417808633996e-6,9.448305718251504e-6,1.9006259441375732,-91.2805832,33.2113616,182,1,2004-07-01
MANDIFORE-SEUS-5605,13,0.04291814565658569,0.24959717690944672,30.104982376098633,0,1.3213506235842942e-6,9.606768799130805e-6,2.5386037826538086,-91.2805832,33.2113616,213,1,2004-08-01
MANDIFORE-SEUS-5605,13,0.05085088685154915,0.2226450890302658,33.453765869140625,1.430511474609375e-6,1.2432075209289906e-6,9.69018856267212e-6,2.728813886642456,-91.2805832,33.2113616,244,1,2004-09-01
MANDIFORE-SEUS-5605,13,0.05166057497262955,0.18455232679843903,34.149696350097656,1.7881393432617188e-06,9.250605899069342e-7,5.666943252435885e-6,3.037383556365967,-91.2805832,33.2113616,274,1,2004-10-01
MANDIFORE-SEUS-5605,13,0.051462844014167786,0.08598523586988449,34.8681640625,3.5762786865234375e-7,4.871798751082679e-7,1.4316539136416395e-6,3.0967981815338135,-91.2805832,33.2113616,305,1,2004-11-01
MANDIFORE-SEUS-5605,13,0.04286530241370201,0.011816597543656826,34.94575500488281,1.0728836059570312e-06,1.326989860217509e-7,1.912663520897695e-7,2.593777894973755,-91.2805832,33.2113616,0,8,2004-01-01
MANDIFORE-SEUS-5605,13,0.12676367163658142,0,44.546875,0,5.296695690049091e-6,1.0331129942642292e-6,0.5488510727882385,-91.2805832,33.2113616,31,8,2004-02-01
